# pinyin	word	lcid	rcid	mid	value
a	吖	1288	1288	501	-6.5
a	啊	1288	1288	501	-6.5
a	錒	1288	1288	501	-6.5
a	锕	1288	1288	501	-6.5
a	阿	1288	1288	501	-30.0
a	𠼞	1288	1288	501	-6.5
a	𥥩	1288	1288	501	-6.5
a	𨉚	1288	1288	501	-6.5
a	𱚱	1288	1288	501	-6.5
abai	阿拝	1293	1293	501	-16.823699951171875
aban	阿坂	1290	1290	371	-14.366800308227539
abao	阿保	1290	1290	128	-13.42710018157959
abao	阿寶	1291	1291	501	-17.239099502563477
abaoji	阿保機	1291	1291	501	-17.239099502563477
abei	阿倍	1290	1290	10	-13.251399993896484
abei	阿北	1290	1290	501	-12.242799758911133
abeibiluofu	阿倍比羅夫	1289	1289	135	-12.77079963684082
abeijimi	阿輩雞弥	1285	1285	501	-18.380599975585938
abeijimi	阿輩雞彌	1285	1285	501	-18.380599975585938
abeitai	阿輩臺	1285	1285	501	-18.380599975585938
abeiye	阿倍野	1293	1293	231	-11.607500076293945
abeiyequ	阿倍野区	1293	1293	18	-12.663599967956543
aben	阿本	1290	1290	501	-16.49839973449707
abi	阿閇	1293	1293	219	-16.823699951171875
abi	阿閉	1290	1290	148	-16.83489990234375
abi	阿鼻	1285	1285	501	-16.264299392700195
abian	阿邊	1290	1290	501	-16.364900588989258
abijiaohuan	阿鼻叫喚	1285	1285	389	-13.046699523925781
abiliu	阿比留	1290	1290	285	-13.057600021362305
abo	阿波	1293	1293	464	-11.234299659729004
abogen	阿波根	1290	1290	233	-12.976300239562988
aboguo	阿波国	1288	1288	464	-12.305100440979004
abolian	阿波連	1290	1290	501	-16.83489990234375
aboshi	阿波市	1293	1293	82	-12.0177001953125
aboshou	阿波手	1293	1293	501	-16.823699951171875
aboye	阿波野	1290	1290	310	-12.54170036315918
aboyexiuxing	阿波野秀幸	1289	1289	122	-17.124000549316406
abozuo	阿波座	1293	1293	371	-12.859800338745117
abu	阿部	1293	1293	344	-11.928400039672852
abuchunzi	阿部純子	1289	1289	122	-16.58799934387207
abuding	阿部定	1289	1289	159	-12.929699897766113
abudun	阿部敦	1289	1289	122	-19.85300064086914
abuguangtailang	阿部広太郎	1289	1289	501	-12.872300148010254
abuhezhong	阿部和重	1289	1289	122	-21.804000854492188
abuhuayezi	阿部華也子	1289	1289	122	-15.864999771118164
abujinzhijie	阿部進之介	1289	1289	122	-17.639999389648438
abujunzi	阿部俊子	1289	1289	122	-15.666000366210938
abukuan	阿部寛	1289	1289	122	-11.723899841308594
abuli	阿部力	1289	1289	122	-16.40399932861328
abuliangping	阿部亮平	1289	1289	501	-12.320199966430664
abushenzhizhu	阿部慎之助	1289	1289	310	-12.34000015258789
abushi	阿部詩	1289	1289	122	-21.441999435424805
abushoushu	阿部寿樹	1289	1289	122	-17.367000579833984
abuxianlan	阿部顕嵐	1289	1289	122	-15.925999641418457
abuxiaozi	阿部暁子	1289	1289	122	-19.08300018310547
abuyiersan	阿部一二三	1289	1289	122	-20.04199981689453
abuyongshu	阿部勇樹	1289	1289	62	-12.84939956665039
abuzhenghong	阿部正弘	1289	1289	108	-11.995200157165527
abuzhenyang	阿部真央	1289	1289	22	-12.553000450134277
acao	阿漕	1287	1287	200	-17.141599655151367
acao	阿草	1290	1290	501	-15.736300468444824
aceng	阿曽	1290	1290	114	-13.430399894714355
acengtian	阿曽田	1290	1290	501	-15.879400253295898
acengzhao	阿曽沼	1290	1290	328	-13.725799560546875
achaluo	阿茶羅	1285	1285	501	-17.975099563598633
acheng	阿澄	1290	1290	122	-17.55299949645996
achengjianai	阿澄佳奈	1289	1289	122	-17.55299949645996
achu	阿閦	1288	1288	501	-18.019500732421875
achuan	阿川	1290	1290	285	-12.121800422668457
achuanhongzhi	阿川弘之	1289	1289	323	-12.812199592590332
achuanzuohezi	阿川佐和子	1289	1289	170	-12.946200370788574
aciji	阿刺吉	1285	1285	501	-17.975099563598633
ada	阿達	1290	1290	501	-12.833000183105469
adai	阿呆	1285	1285	420	-13.587699890136719
adaituoluo	阿呆陀羅	1285	1285	501	-18.28529930114746
adan	阿丹	1293	1293	501	-16.669599533081055
adao	阿刀	1290	1290	10	-13.809599876403809
adao	阿道	1289	1289	501	-17.04050064086914
adaotian	阿刀田	1290	1290	501	-13.776200294494629
adechuan	阿地川	1290	1290	501	-16.83489990234375
adihe	阿氐河	1293	1293	501	-16.823699951171875
ading	阿定	1291	1291	501	-17.239099502563477
adong	阿東	1293	1293	489	-13.775300025939941
adouzuowei	阿豆佐味	1288	1288	501	-18.019500732421875
adu	阿堵	1285	1285	501	-18.28529930114746
adu	阿渡	1293	1293	501	-16.823699951171875
aduli	阿闍梨	1285	1285	238	-13.584799766540527
aduo	阿多	1290	1290	358	-12.11460018157959
aduoduoluo	阿多多羅	1293	1293	501	-16.823699951171875
aduofu	阿多福	1285	1285	501	-19.07379913330078
adushi	阿闍世	1289	1289	443	-17.04050064086914
aer	阿児	1293	1293	39	-13.199399948120117
aerjin	阿尓金	1293	1293	501	-16.823699951171875
aerjin	阿爾金	1293	1293	501	-16.823699951171875
afang	阿房	1287	1287	501	-16.522600173950195
afang	阿方	1293	1293	501	-15.119000434875488
afanglieche	阿房列車	1288	1288	229	-14.277299880981445
afei	阿飛	1289	1289	501	-17.04050064086914
afo	阿仏	1289	1289	501	-17.04050064086914
afu	阿附	1283	1283	501	-17.569299697875977
afuli	阿夫利	1289	1289	501	-17.04050064086914
afutu	阿伏兎	1288	1288	501	-18.019500732421875
afuyinghe	阿附迎合	1285	1285	228	-15.672599792480469
age	阿哥	1285	1285	501	-18.28529930114746
agu	阿古	1293	1293	3	-12.517399787902832
aguda	阿骨打	1289	1289	58	-17.04050064086914
aguo	阿国	1289	1289	465	-12.401000022888184
aguwan	阿古丸	1289	1289	501	-15.654199600219727
aguwu	阿古屋	1293	1293	501	-16.823699951171875
aguwuji	阿古屋姫	1289	1289	501	-17.04050064086914
ahan	阿含	1288	1288	137	-14.205900192260742
ahan	阿寒	1292	1292	385	-11.835700035095215
ahanhu	阿寒湖	1288	1288	385	-13.790800094604492
ahanzong	阿含宗	1292	1292	300	-12.396300315856934
ahe	阿賀	1293	1293	200	-12.360699653625488
ahechuan	阿賀川	1288	1288	176	-13.570899963378906
ahenan	阿賀南	1293	1293	501	-16.31290054321289
aheng	阿衡	1285	1285	501	-18.28529930114746
aheting	阿賀町	1293	1293	309	-12.519700050354004
aheye	阿賀野	1293	1293	343	-13.491499900817871
aheyechuan	阿賀野川	1288	1288	176	-12.658499717712402
aheyechuanshuixi	阿賀野川水系	1288	1288	176	-14.10990047454834
aheyeshi	阿賀野市	1293	1293	82	-12.763299942016602
ahong	阿吽	1285	1285	358	-14.22719955444336
ahong	阿呍	1285	1285	501	-17.910600662231445
ahou	阿後	1290	1290	501	-16.83489990234375
ahu	阿護	1293	1293	501	-16.823699951171875
ahua	阿花	1289	1289	501	-17.55139923095703
ahugen	阿胡根	1293	1293	501	-16.823699951171875
ahuhe	阿弖河	1293	1293	501	-15.214300155639648
ahui	阿恵	1289	1289	501	-17.04050064086914
ahuliuwei	阿弖流為	1289	1289	501	-13.066499710083008
ahuliuwei	阿弖流爲	1289	1289	501	-17.04050064086914
ai	㕌	1288	1288	501	-6.5
ai	㗒	1288	1288	501	-6.5
ai	㘷	1288	1288	501	-6.5
ai	㝶	1288	1288	501	-6.5
ai	㢊	1288	1288	501	-6.5
ai	㤅	1288	1288	501	-6.5
ai	㦈	1288	1288	501	-6.5
ai	㱯	1288	1288	501	-6.5
ai	㶼	1288	1288	501	-6.5
ai	㾢	1288	1288	501	-6.5
ai	㿄	1288	1288	501	-6.5
ai	䀳	1288	1288	501	-6.5
ai	䅬	1288	1288	501	-6.5
ai	䑂	1288	1288	501	-6.5
ai	䔽	1288	1288	501	-6.5
ai	䝽	1288	1288	501	-6.5
ai	䠹	1288	1288	501	-6.5
ai	䨠	1288	1288	501	-6.5
ai	䶣	1288	1288	501	-6.5
ai	伌	1288	1288	501	-6.5
ai	僾	1288	1288	501	-6.5
ai	凒	1288	1288	501	-6.5
ai	叆	1288	1288	501	-6.5
ai	哀	1288	1288	501	-30.0
ai	哎	1288	1288	501	-6.5
ai	唉	1288	1288	501	-6.5
ai	啀	1288	1288	501	-30.0
ai	嗌	1288	1288	501	-6.5
ai	嗳	1288	1288	501	-6.5
ai	嘊	1288	1288	501	-6.5
ai	噯	1285	1285	501	-18.380599975585938
ai	埃	1285	1285	174	-11.850099563598633
ai	塧	1288	1288	501	-6.5
ai	壒	1288	1288	501	-6.5
ai	娭	1288	1288	501	-6.5
ai	娾	1288	1288	501	-6.5
ai	嫒	1288	1288	501	-6.5
ai	嬡	1288	1288	501	-6.5
ai	愛	1288	1288	501	-30.0
ai	懓	1288	1288	501	-6.5
ai	懝	1288	1288	501	-6.5
ai	挨	1288	1288	501	-30.0
ai	捱	1288	1288	501	-6.5
ai	敱	1288	1288	501	-6.5
ai	敳	1288	1288	501	-6.5
ai	昹	1288	1288	501	-6.5
ai	暧	1288	1288	501	-6.5
ai	曖	1288	1288	501	-30.0
ai	欸	1288	1288	501	-30.0
ai	毐	1288	1288	501	-6.5
ai	溰	1288	1288	501	-6.5
ai	溾	1288	1288	501	-6.5
ai	濭	1288	1288	501	-6.5
ai	爱	1288	1288	501	-6.5
ai	瑷	1288	1288	501	-6.5
ai	璦	1288	1288	501	-6.5
ai	癌	1285	1285	192	-10.560400009155273
ai	皑	1288	1288	501	-6.5
ai	皚	1288	1288	501	-30.0
ai	皧	1288	1288	501	-6.5
ai	瞹	1288	1288	501	-30.0
ai	矮	1288	1288	501	-30.0
ai	砹	1288	1288	501	-6.5
ai	硋	1288	1288	501	-6.5
ai	碍	1288	1288	501	-30.0
ai	礙	1288	1288	501	-30.0
ai	艾	1288	1288	501	-30.0
ai	蔼	1288	1288	501	-6.5
ai	薆	1288	1288	501	-6.5
ai	藹	1288	1288	501	-30.0
ai	譪	1288	1288	501	-6.5
ai	譺	1288	1288	501	-6.5
ai	躷	1288	1288	501	-6.5
ai	銰	1288	1288	501	-6.5
ai	鎄	1288	1288	501	-6.5
ai	鑀	1288	1288	501	-6.5
ai	锿	1288	1288	501	-6.5
ai	閡	1288	1288	501	-6.5
ai	隘	1285	1285	501	-18.28529930114746
ai	霭	1288	1288	501	-6.5
ai	靄	1285	1285	112	-18.380599975585938
ai	靉	1288	1288	501	-30.0
ai	餲	1288	1288	501	-6.5
ai	馤	1288	1288	501	-6.5
ai	騃	1288	1288	501	-6.5
ai	鱫	1288	1288	501	-6.5
ai	鴱	1288	1288	501	-6.5
ai	𠊎	1288	1288	501	-6.5
ai	𠳳	1288	1288	501	-6.5
ai	𡁍	1288	1288	501	-6.5
ai	𡉓	1288	1288	501	-6.5
ai	𡟓	1288	1288	501	-6.5
ai	𡰽	1288	1288	501	-6.5
ai	𡶃	1288	1288	501	-6.5
ai	𢟪	1288	1288	501	-6.5
ai	𢟰	1288	1288	501	-6.5
ai	𢣏	1288	1288	501	-6.5
ai	𢣕	1288	1288	501	-6.5
ai	𢰇	1288	1288	501	-6.5
ai	𣉼	1288	1288	501	-6.5
ai	𣋞	1288	1288	501	-6.5
ai	𣜬	1288	1288	501	-6.5
ai	𣝅	1288	1288	501	-6.5
ai	𣤃	1288	1288	501	-6.5
ai	𣩱	1288	1288	501	-6.5
ai	𤢵	1288	1288	501	-6.5
ai	𤸖	1288	1288	501	-6.5
ai	𤸳	1288	1288	501	-6.5
ai	𤻢	1288	1288	501	-6.5
ai	𥡽	1288	1288	501	-6.5
ai	𥤦	1288	1288	501	-6.5
ai	𥴨	1288	1288	501	-6.5
ai	𦗍	1288	1288	501	-6.5
ai	𦗐	1288	1288	501	-6.5
ai	𦥂	1288	1288	501	-6.5
ai	𦥈	1288	1288	501	-6.5
ai	𦩴	1288	1288	501	-6.5
ai	𧏹	1288	1288	501	-6.5
ai	𧓁	1288	1288	501	-6.5
ai	𧡋	1288	1288	501	-6.5
ai	𧪚	1288	1288	501	-6.5
ai	𧰿	1288	1288	501	-6.5
ai	𧵨	1288	1288	501	-6.5
ai	𨶂	1288	1288	501	-6.5
ai	𩈋	1288	1288	501	-6.5
ai	𩪂	1288	1288	501	-6.5
ai	𩫇	1288	1288	501	-6.5
ai	𩮖	1288	1288	501	-6.5
ai	𪇈	1288	1288	501	-6.5
ai	𪕭	1288	1288	501	-6.5
ai	𫂖	1288	1288	501	-6.5
ai	𫉁	1288	1288	501	-6.5
ai	𫘤	1288	1288	501	-6.5
ai	𫣊	1288	1288	501	-6.5
ai	𬤩	1288	1288	501	-6.5
ai	𬺃	1288	1288	501	-6.5
ai	𭏦	1288	1288	501	-6.5
ai	𭞄	1288	1288	501	-6.5
ai	𮩝	1288	1288	501	-6.5
ai	𰛥	1288	1288	501	-6.5
ai	𰾭	1288	1288	501	-6.5
ai	𱉪	1288	1288	501	-6.5
aiai	愛愛	1288	1288	501	-18.019500732421875
aiai	藹藹	1285	1285	501	-18.486000061035156
aiaiai	愛愛愛	1288	1288	501	-14.035099983215332
aiaifumu	哀哀父母	1285	1285	228	-15.672599792480469
aiao	哀敖	1285	1285	501	-18.28529930114746
aibao	愛宝	1285	1285	501	-18.28529930114746
aiben	愛本	1290	1290	501	-14.087599754333496
aibie	愛別	1285	1285	81	-15.925299644470215
aibieliku	愛別離苦	1285	1285	228	-15.672599792480469
aibimai	愛比賣	1289	1289	501	-17.04050064086914
aibishi	埃壁蝨	1285	1285	501	-18.380599975585938
aibu	愛歩	1291	1291	501	-16.728200912475586
aicai	愛才	1290	1290	122	-20.649999618530273
aicai	愛菜	1291	1291	122	-12.081999778747559
aichang	愛唱	1283	1283	416	-13.112299919128418
aichao	癌巣	1285	1285	501	-18.28529930114746
aiche	愛車	1285	1285	168	-11.960800170898438
aichen	愛臣	1285	1285	501	-18.28529930114746
aicheng	愛成	1291	1291	501	-17.239099502563477
aicheng	愛称	1285	1285	202	-9.48270034790039
aichenghualian	愛城華恋	1289	1289	501	-12.858499526977539
aichong	愛寵	1283	1283	501	-17.569299697875977
aichong	愛銃	1285	1285	501	-18.28529930114746
aichou	哀愁	1285	1285	307	-12.188300132751465
aichuan	哀川	1290	1290	170	-12.39109992980957
aichuan	愛川	1290	1290	409	-12.99120044708252
aichuanqinye	愛川欽也	1289	1289	409	-12.362099647521973
aichuanting	愛川町	1293	1293	18	-12.663599967956543
aichuanxiang	哀川翔	1289	1289	477	-12.624099731445312
aicilang	愛次郎	1291	1291	501	-14.12559986114502
aidai	靄靆	1285	1285	501	-18.486000061035156
aidai	靉靆	1285	1285	501	-18.486000061035156
aidang	愛党	1285	1285	501	-18.28529930114746
aidang	愛宕	1293	1293	343	-10.513799667358398
aidanghu	愛当護	1293	1293	501	-16.823699951171875
aidangjun	愛宕郡	1288	1288	72	-14.072999954223633
aidangshan	愛宕山	1288	1288	231	-14.332099914550781
aidangshenshe	愛宕神社	1293	1293	404	-11.621999740600586
aidangxiating	愛宕下町	1293	1293	501	-16.823699951171875
aidao	哀悼	1283	1283	199	-12.21780014038086
aidao	愛刀	1285	1285	501	-18.28529930114746
aidao	愛島	1293	1293	371	-12.8193998336792
aide	愛徳	1285	1285	325	-18.28529930114746
aide	隘地	1285	1285	501	-18.28529930114746
aideng	愛登	1291	1291	122	-14.902999877929688
aidi	哀帝	1290	1290	246	-11.37279987335205
aidiao	哀調	1285	1285	458	-15.462800025939941
aidizi	愛弟子	1285	1285	334	-13.209799766540527
aidong	愛東	1293	1293	501	-15.907500267028809
aidou	愛斗	1291	1291	501	-17.239099502563477
aidu	愛読	1283	1283	323	-11.459099769592285
aiduozengsheng	愛多憎生	1285	1285	228	-15.672599792480469
aidushu	愛読書	1288	1288	393	-12.760000228881836
aiduzhe	愛読者	1283	1298	17	-13.18120002746582
aie	愛悪	1285	1285	501	-18.28529930114746
aier	愛二	1291	1291	501	-15.341899871826172
aier	愛児	1285	1285	49	-15.030699729919434
aifa	愛発	1293	1293	501	-16.823699951171875
aifang	愛方	1288	1288	501	-13.920999526977539
aifei	愛妃	1285	1285	501	-18.28529930114746
aifeng	埃風	1285	1285	501	-18.28529930114746
aifu	愛撫	1283	1283	451	-12.48270034790039
aigan	哀感	1285	1285	307	-15.611100196838379
aigaojiao	愛高教	1288	1288	501	-18.019500732421875
aige	哀歌	1285	1285	416	-13.579899787902832
aigong	哀公	1289	1289	263	-15.411299705505371
aigong	愛弓	1291	1291	501	-13.768099784851074
aigongda	愛工大	1288	1288	372	-18.019500732421875
aigu	愛顧	1283	1283	193	-12.81410026550293
aiguan	愛冠	1293	1293	501	-16.41830062866211
aiguang	愛光	1288	1288	110	-18.019500732421875
aiguang	靉光	1289	1289	484	-14.267900466918945
aigui	愛貴	1291	1291	122	-13.819000244140625
aiguo	哀果	1291	1291	501	-13.805100440979004
aiguo	愛国	1285	1285	388	-11.849100112915039
aiguo	愛圀	1291	1291	501	-17.239099502563477
aiguode	愛国的	1285	1299	17	-13.322400093078613
aiguoge	愛国歌	1288	1288	416	-13.996299743652344
aiguowan	愛国丸	1288	1288	343	-13.905500411987305
aiguoxin	愛国心	1285	1285	252	-12.400799751281738
aiguozhanxian	愛国戦線	1288	1288	430	-13.687899589538574
aiguozhe	愛国者	1288	1288	326	-11.734000205993652
aiguozheda	愛国者達	1292	1292	459	-12.246299743652344
aiguozhuyi	愛国主義	1288	1288	388	-13.033699989318848
aihai	愛海	1291	1291	122	-13.17199993133545
aihao	哀号	1283	1283	501	-17.569299697875977
aihao	愛好	1283	1283	84	-10.698599815368652
aihaohui	愛好会	1283	1298	17	-12.840399742126465
aihaojia	愛好家	1283	1298	17	-12.186200141906738
aihaozhe	愛好者	1288	1288	501	-12.094900131225586
aihe	愛河	1290	1290	122	-17.062000274658203
aihe	愛禾	1290	1290	501	-16.364900588989258
aihe	愛賀	1290	1290	501	-16.247100830078125
aihelihuazi	愛河里花子	1289	1289	122	-17.062000274658203
aihong	愛弘	1291	1291	501	-16.545900344848633
aihu	愛戯	1285	1285	501	-18.28529930114746
aihu	愛護	1283	1283	32	-12.873700141906738
aihu	矮虎	1289	1289	501	-17.04050064086914
aihua	哀話	1285	1285	501	-16.365699768066406
aihua	愛花	1291	1291	370	-13.68850040435791
aihua	愛華	1291	1291	285	-12.59630012512207
aihua	癌化	1285	1285	501	-18.28529930114746
aihua	矮化	1285	1285	457	-18.28529930114746
aihuan	哀歓	1285	1285	90	-15.69279956817627
aihuiguli	哀毀骨立	1285	1285	228	-15.672599792480469
aihun	愛渾	1293	1293	501	-16.823699951171875
aiji	埃及	1294	1294	501	-16.117399215698242
aiji	愛吉	1291	1291	501	-13.727499961853027
aiji	愛妓	1285	1285	501	-18.28529930114746
aiji	愛姫	1285	1285	148	-18.28529930114746
aiji	愛技	1285	1285	501	-18.28529930114746
aiji	愛機	1285	1285	501	-18.28529930114746
aiji	矮鶏	1285	1285	501	-17.975099563598633
aijia	愛佳	1291	1291	501	-13.45110034942627
aijia	愛甲	1293	1293	309	-13.27079963684082
aijiameng	愛甲猛	1289	1289	122	-18.27199935913086
aijiana	愛加那	1289	1289	501	-17.04050064086914
aijiao	愛嬌	1285	1285	127	-11.486700057983398
aijiaqianxiaomei	愛甲千笑美	1289	1289	122	-19.13599967956543
aijinchengchuang	哀矜懲創	1285	1285	228	-15.672599792480469
aijing	愛京	1288	1288	501	-18.019500732421875
aijing	愛敬	1285	1285	54	-15.734399795532227
aijiu	愛酒	1285	1285	501	-18.28529930114746
aijiuze	愛久澤	1290	1290	106	-16.83489990234375
aiju	愛橘	1291	1291	501	-12.836400032043457
aijue	哀絶	1285	1285	501	-16.365699768066406
aike	愛可	1291	1291	501	-15.986300468444824
aiku	哀哭	1283	1283	501	-17.569299697875977
aiku	哀苦	1285	1285	501	-18.28529930114746
aiku	愛苦	1285	1285	501	-18.28529930114746
ailang	愛郎	1291	1291	501	-17.239099502563477
aile	哀楽	1285	1285	501	-16.372400283813477
aili	埃裏	1285	1285	501	-18.28529930114746
aili	愛梨	1291	1291	49	-12.4350004196167
aili	愛理	1291	1291	159	-11.718899726867676
aili	愛莉	1291	1291	54	-11.088800430297852
aili	愛里	1291	1291	439	-12.88659954071045
ailian	哀憐	1285	1285	501	-16.508800506591797
ailian	愛憐	1285	1285	501	-17.233200073242188
ailian	愛蓮	1288	1288	501	-18.019500732421875
ailicai	愛梨彩	1291	1291	501	-17.239099502563477
ailin	矮林	1285	1285	501	-18.044099807739258
ailing	愛玲	1291	1291	501	-14.600000381469727
ailisha	愛里紗	1291	1291	501	-13.30720043182373
ailishi	愛利施	1291	1291	501	-17.239099502563477
ailiu	愛流	1291	1291	122	-12.550999641418457
ailiu	愛瑠	1291	1291	122	-12.54699993133545
ailu	隘路	1285	1285	469	-13.771400451660156
ailuo	愛羅	1289	1289	501	-12.821000099182129
aima	愛馬	1285	1285	222	-13.485400199890137
aimalv	愛麻呂	1291	1291	501	-17.239099502563477
aimao	愛猫	1285	1285	51	-18.28529930114746
aimei	埃黴	1285	1285	501	-18.380599975585938
aimei	愛美	1289	1289	122	-18.4060001373291
aimei	曖昧	1287	1287	169	-8.411800384521484
aimei	曖眛	1287	1287	501	-16.784900665283203
aimeimohu	曖昧模糊	1285	1285	228	-15.672599792480469
aimi	愛蜜	1285	1285	501	-18.28529930114746
aimin	哀愍	1283	1283	501	-17.569299697875977
aimin	愛民	1285	1285	501	-18.28529930114746
aiming	愛名	1290	1290	501	-15.245699882507324
aiming	癌名	1285	1285	501	-18.28529930114746
aimo	愛茉	1291	1291	122	-12.822999954223633
aimu	愛慕	1283	1283	501	-15.26669979095459
ainai	愛乃	1291	1291	122	-14.26200008392334
ainai	愛奈	1291	1291	122	-18.040000915527344
ainan	愛南	1293	1293	501	-16.823699951171875
ainang	壒嚢	1288	1288	501	-18.019500732421875
ainang	壒囊	1288	1288	501	-18.019500732421875
ainanting	愛南町	1293	1293	82	-12.416999816894531
ainei	愛内	1290	1290	122	-15.824000358581543
aineilicai	愛内里菜	1289	1289	67	-12.763899803161621
ainian	愛念	1285	1285	501	-18.28529930114746
ainiang	愛娘	1285	1285	25	-13.35569953918457
ainiang	愛嬢	1285	1285	501	-17.6875
ainiao	愛鳥	1285	1285	419	-14.268099784851074
aiou	靉嘔	1289	1289	501	-14.865799903869629
aipan	碍盤	1285	1285	501	-18.28529930114746
aiqi	哀戚	1285	1285	501	-18.28529930114746
aiqi	噯気	1285	1285	501	-18.380599975585938
aiqi	愛妻	1285	1285	161	-14.137800216674805
aiqian	愛欠	1285	1285	501	-18.28529930114746
aiqibiandang	愛妻弁当	1288	1288	501	-14.080300331115723
aiqie	哀切	1287	1287	66	-13.202799797058105
aiqie	愛妾	1285	1285	97	-13.060799598693848
aiqijia	愛妻家	1288	1288	97	-13.295900344848633
aiqing	哀情	1285	1285	501	-18.28529930114746
aiqing	愛情	1285	1285	252	-9.929300308227539
aiqingbiaoxian	愛情表現	1288	1288	161	-11.802499771118164
aiqinjueluo	愛親覚羅	1290	1290	501	-16.83489990234375
aiqu	矮躯	1285	1285	501	-17.526199340820312
aiquan	愛犬	1285	1285	51	-11.51360034942627
aiquanjia	愛犬家	1288	1288	324	-13.599900245666504
airan	愛染	1290	1290	358	-12.32289981842041
airan	藹然	1285	1285	501	-18.486000061035156
airanmingwang	愛染明王	1285	1285	32	-14.664600372314453
airen	愛人	1285	1285	97	-11.061599731445312
airong	埃茸	1285	1285	501	-18.380599975585938
aisan	愛三	1291	1291	501	-13.92490005493164
aisha	愛紗	1291	1291	501	-14.303400039672852
aishamei	愛砂美	1291	1291	501	-16.545900344848633
aishan	愛善	1288	1288	501	-18.019500732421875
aishan	愛山	1291	1291	392	-13.968199729919434
aishang	哀傷	1285	1285	465	-15.310199737548828
aishang	愛賞	1283	1283	501	-17.569299697875977
aishaonv	愛少女	1285	1285	501	-18.380599975585938
aishe	愛社	1285	1285	501	-16.28260040283203
aishen	愛神	1285	1285	501	-18.28529930114746
aishen	矮神	1285	1285	501	-18.28529930114746
aisheng	愛生	1288	1288	419	-18.019500732421875
aisheng	矮生	1285	1285	501	-18.28529930114746
aishi	哀史	1285	1285	501	-16.89900016784668
aishi	哀詩	1285	1285	501	-17.850000381469727
aishi	愛実	1291	1291	159	-12.906100273132324
aishi	愛市	1291	1291	501	-14.84119987487793
aishou	愛獣	1285	1285	501	-18.28529930114746
aishu	愛書	1285	1285	501	-15.716899871826172
aisi	哀思	1285	1285	501	-18.28529930114746
aisi	愛死	1285	1285	501	-18.28529930114746
aisi	癌死	1283	1283	501	-17.569299697875977
aisong	愛誦	1283	1283	90	-15.69159984588623
aisu	哀訴	1283	1283	501	-15.86460018157959
aita	愛他	1285	1285	501	-14.303899765014648
aitailang	愛太郎	1291	1291	501	-15.180700302124023
aitan	哀嘆	1285	1285	501	-18.28529930114746
aitao	愛陶	1285	1285	501	-18.28529930114746
aitian	愛田	1290	1290	370	-13.542799949645996
aiting	愛聴	1283	1283	501	-17.569299697875977
aitu	艾土	1285	1285	501	-18.380599975585938
aiwa	愛蛙	1288	1288	501	-18.019500732421875
aiwan	愛玩	1283	1283	499	-13.022700309753418
aiwan	愛翫	1283	1283	501	-17.569299697875977
aiwandongwu	愛玩動物	1288	1288	499	-13.49429988861084
aiwang	哀王	1289	1289	440	-13.426899909973145
aiwanquan	愛玩犬	1288	1288	499	-14.14050006866455
aiwanyong	愛玩用	1288	1288	499	-13.968799591064453
aiwei	愛未	1291	1291	22	-17.644500732421875
aiwu	愛武	1291	1291	501	-17.239099502563477
aixi	哀惜	1283	1283	495	-14.598899841308594
aixi	愛希	1291	1291	501	-13.38539981842041
aixi	愛息	1285	1285	11	-15.355299949645996
aixi	愛惜	1283	1283	479	-14.884599685668945
aixi	愛西	1293	1293	501	-16.823699951171875
aixiang	愛想	1285	1285	161	-12.548700332641602
aixiang	愛郷	1285	1285	69	-15.815699577331543
aixiang	愛香	1291	1291	159	-12.973999977111816
aixiao	愛咲	1290	1290	501	-13.8193998336792
aixiao	愛校	1285	1285	501	-18.28529930114746
aixiao	矮小	1287	1287	466	-11.29699993133545
aixiaohua	矮小化	1287	1297	17	-12.775899887084961
aixiaoyinhe	矮小銀河	1288	1288	466	-13.47350025177002
aixibao	癌細胞	1285	1285	17	-13.120499610900879
aixin	愛心	1285	1285	392	-18.28529930114746
aixing	愛幸	1291	1291	501	-17.239099502563477
aixing	矮性	1285	1285	116	-14.659700393676758
aixing	矮星	1288	1288	466	-14.058600425720215
aixinjueluo	愛新覚羅	1290	1290	128	-12.219799995422363
aixinjueluopuyi	愛新覚羅溥儀	1289	1289	346	-12.56089973449707
aixiong	愛雄	1291	1291	501	-15.629599571228027
aixishi	愛西市	1293	1293	82	-12.66100025177002
aixu	愛婿	1285	1285	501	-18.28529930114746
aiyan	愛彦	1291	1291	501	-17.239099502563477
aiyan	愛煙	1285	1285	324	-15.58329963684082
aiyan	癌研	1285	1285	501	-18.28529930114746
aiyanjia	愛煙家	1288	1288	127	-13.486200332641602
aiyanye	愛言葉	1288	1288	227	-13.486900329589844
aiyao	愛咬	1285	1285	501	-18.28529930114746
aiye	愛也	1291	1291	122	-15.32699966430664
aiye	愛液	1285	1285	501	-14.020099639892578
aiye	愛野	1290	1290	200	-13.464200019836426
aiye	艾葉	1285	1285	501	-18.28529930114746
aiyi	哀意	1285	1285	501	-18.28529930114746
aiyi	愛義	1291	1291	501	-17.239099502563477
aiyi	愛衣	1291	1291	501	-13.193099975585938
aiyilang	愛一郎	1291	1291	501	-13.406800270080566
aiyin	愛吟	1283	1283	501	-16.607900619506836
aiyin	愛音	1289	1289	501	-12.085399627685547
aiyin	愛飲	1283	1283	75	-12.815699577331543
aiying	愛英	1291	1291	501	-17.239099502563477
aiying	愛鷹	1290	1290	129	-12.596500396728516
