# pinyin	word	lcid	rcid	mid	value
daodao	嶋道	1290	1290	501	-15.879400253295898
daodao	道島	1290	1290	501	-16.83489990234375
daodao	道道	1285	1285	129	-18.737300872802734
daode	倒地	1285	1285	501	-18.28529930114746
daode	島地	1290	1290	385	-13.849200248718262
daode	道地	1293	1293	501	-15.907500267028809
daode	道徳	1285	1285	287	-10.575699806213379
daode	道德	1285	1285	501	-18.28529930114746
daodede	道徳的	1285	1299	17	-11.67140007019043
daodeguan	道徳観	1285	1298	17	-13.268799781799316
daodejiaoyu	道徳教育	1288	1288	154	-13.212400436401367
daodexin	道徳心	1285	1285	252	-13.952799797058105
daodexing	道徳性	1288	1288	88	-13.961199760437012
daodezhexue	道徳哲学	1288	1288	291	-14.42039966583252
daodi	到底	1281	1281	17	-9.338399887084961
daodi	道諦	1285	1285	501	-18.28529930114746
daodian	導電	1283	1283	501	-12.650199890136719
daodian	擣殿	1285	1285	501	-18.380599975585938
daodian	盗電	1283	1283	501	-15.514200210571289
daoding	島頂	1285	1285	501	-18.28529930114746
daoding	道定	1291	1291	501	-15.44729995727539
daodong	道東	1293	1293	397	-10.225500106811523
daodou	刀豆	1285	1285	501	-18.380599975585938
daodou	島都	1285	1285	501	-18.28529930114746
daodou	道都	1285	1285	117	-18.28529930114746
daodoudaxue	道都大学	1292	1292	187	-12.645899772644043
daoduan	島端	1290	1290	501	-15.01039981842041
daoduan	稲端	1290	1290	501	-16.83489990234375
daoduan	道断	1285	1285	501	-17.281999588012695
daoduan	道端	1285	1285	220	-11.660499572753906
daoduanye	刀鍛冶	1285	1285	464	-12.980199813842773
daodunku	道頓堀	1293	1293	311	-10.683899879455566
daodunkuchuan	道頓堀川	1293	1293	176	-12.37720012664795
daoe	道悪	1285	1285	501	-18.380599975585938
daoer	道二	1291	1291	501	-14.970399856567383
daofa	刀法	1285	1285	501	-18.380599975585938
daofa	盗伐	1283	1283	275	-15.164400100708008
daofan	盗犯	1285	1285	345	-15.665900230407715
daofan	稲飯	1289	1289	501	-17.04050064086914
daofan	道範	1291	1291	501	-14.674099922180176
daofang	道房	1293	1293	501	-16.823699951171875
daofang	道方	1291	1291	501	-17.239099502563477
daofeng	島風	1289	1289	343	-11.070799827575684
daofeng	盗蜂	1285	1285	501	-18.28529930114746
daofeng	道風	1291	1291	32	-14.376899719238281
daofo	道仏	1285	1285	114	-18.28529930114746
daofu	倒伏	1283	1283	116	-13.78339958190918
daofu	稲富	1290	1290	285	-13.906399726867676
daofu	稲敷	1293	1293	309	-12.193900108337402
daofu	稲福	1290	1290	501	-14.532299995422363
daofu	稲負	1285	1285	501	-18.380599975585938
daofu	道副	1289	1289	501	-17.04050064086914
daofu	道夫	1291	1291	439	-11.101300239562988
daofu	道幅	1285	1285	469	-12.338899612426758
daofu	道服	1285	1285	501	-16.631399154663086
daofu	道甫	1291	1291	501	-15.159600257873535
daofujun	稲敷郡	1288	1288	82	-14.233799934387207
daofumin	道府民	1285	1285	501	-18.28529930114746
daofushi	稲敷市	1293	1293	82	-12.793899536132812
daofuxian	道府県	1285	1285	265	-12.974800109863281
daofuxianmin	道府県民	1285	1285	501	-18.28529930114746
daofuxiannei	道府県内	1285	1285	501	-18.28529930114746
daofuxianshui	道府県税	1285	1285	501	-18.28529930114746
daogang	島岡	1290	1290	488	-12.497599601745605
daogang	嶋岡	1290	1290	501	-14.23960018157959
daogang	稲岡	1290	1290	219	-13.961299896240234
daogang	道岡	1290	1290	501	-15.225500106811523
daogang	道綱	1291	1291	285	-15.939800262451172
daogao	稲藁	1285	1285	501	-18.380599975585938
daoge	倒閣	1283	1283	278	-13.213600158691406
daoge	島歌	1285	1285	501	-18.380599975585938
daoge	悼歌	1285	1285	501	-18.28529930114746
daoge	搗割	1285	1285	501	-18.380599975585938
daoge	道歌	1285	1285	28	-15.484700202941895
daogen	刀根	1290	1290	330	-13.34749984741211
daogen	島根	1285	1285	473	-17.638700485229492
daogen	嶋根	1293	1293	501	-16.536100387573242
daogendaxue	島根大学	1292	1292	187	-11.871600151062012
daogenghuozhong	刀耕火種	1285	1285	228	-15.672599792480469
daogengzuo	島耕作	1289	1289	96	-12.05210018157959
daogenshan	刀根山	1290	1290	501	-14.341699600219727
daogenxian	島根県	1293	1293	397	-9.134300231933594
daogenxiananlaishi	島根県安来市	1293	1293	358	-12.723899841308594
daogenxianbangtianshi	島根県浜田市	1293	1293	266	-12.455400466918945
daogenxianchuyunshi	島根県出雲市	1293	1293	266	-12.113499641418457
daogenxiandatianshi	島根県大田市	1293	1293	266	-12.767600059509277
daogenxiansongjiangshi	島根県松江市	1293	1293	266	-11.301600456237793
daogenxianyitianshi	島根県益田市	1293	1293	266	-12.561100006103516
daogenxianyunnanshi	島根県雲南市	1293	1293	266	-12.704700469970703
daogong	刀工	1285	1285	312	-13.08549976348877
daogong	島宮	1285	1285	501	-18.380599975585938
daogong	嶋宮	1288	1288	501	-18.019500732421875
daogong	道工	1288	1288	501	-18.019500732421875
daogongda	道工大	1288	1288	501	-18.019500732421875
daogu	島谷	1290	1290	67	-12.66670036315918
daogua	島颪	1285	1285	501	-18.380599975585938
daogua	稲掛	1285	1285	501	-18.380599975585938
daoguan	導管	1285	1285	174	-13.84000015258789
daoguan	島貫	1290	1290	501	-13.955699920654297
daoguan	嶋貫	1290	1290	501	-16.364900588989258
daoguan	道潅	1291	1291	501	-16.545900344848633
daoguan	道灌	1291	1291	498	-11.234399795532227
daoguan	道管	1285	1285	183	-13.669300079345703
daoguan	道観	1290	1290	365	-12.809499740600586
daoguan	道貫	1291	1291	501	-15.393199920654297
daoguang	導光	1285	1285	501	-18.28529930114746
daoguang	稲光	1290	1290	89	-16.83489990234375
daoguang	道光	1289	1289	21	-17.04050064086914
daoguang	道広	1291	1291	285	-13.683699607849121
daoguangjianying	刀光剣影	1285	1285	228	-15.672599792480469
daoguanshu	導関数	1288	1288	447	-13.162099838256836
daogui	刀圭	1285	1285	501	-17.6875
daogui	道鬼	1289	1289	501	-17.04050064086914
daoguo	島国	1285	1285	240	-12.51140022277832
daoguo	道果	1285	1285	501	-18.28529930114746
